Anfallquartal;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
2021Q1;1342;2546;3370;4023;4614;4940;5207;5419;5558;5664;5740;5800;5839;5869;5891;5907
2021Q2;1714;3345;4280;5153;5685;6051;6398;6605;6757;6854;6919;6983;7021;7055;7083;
2021Q3;1620;2769;3815;4630;5163;5568;5915;6165;6335;6437;6519;6582;6624;6652;;
2021Q4;1339;2430;3252;3882;4446;4774;5068;5270;5412;5504;5573;5640;5678;;;
2022Q1;1550;2810;3812;4451;4903;5258;5512;5721;5862;5965;6039;6099;;;;
2022Q2;1509;2728;3816;4536;5099;5462;5753;5975;6106;6208;6292;;;;;
2022Q3;2244;3696;4730;5431;6032;6345;6651;6867;7020;7176;;;;;;
2022Q4;1266;2627;3671;4487;4957;5353;5610;5829;5995;;;;;;;
2023Q1;1906;3370;4530;5395;6053;6514;6785;7007;;;;;;;;
2023Q2;1855;3135;4117;4934;5527;6015;6355;;;;;;;;;
2023Q3;1703;3161;3934;4672;5262;5594;;;;;;;;;;
2023Q4;1614;3000;4154;4951;5656;;;;;;;;;;;
2024Q1;2000;3097;4081;4821;;;;;;;;;;;;
2024Q2;1996;3473;4763;;;;;;;;;;;;;
2024Q3;2011;3239;;;;;;;;;;;;;;
2024Q4;2188;;;;;;;;;;;;;;;
