Stichtag;Anfalljahr;Endschaden;Erwartet
1984;1979;7002;0
1984;1980;9362,5;303,5
1984;1981;13045,6;598,7
1984;1982;15533,7;518,2
1984;1983;16755,8;803,8
1984;1984;17349,6;4639,8
1985;1979;7034;0
1985;1980;9239;42
1985;1981;12661,6;284
1985;1982;14787;535,1
1985;1983;16764;373,4
1985;1984;17048,2;974,8
1985;1985;18825,8;5489,7
1986;1979;7096;0
1986;1980;9311,4;81,4
1986;1981;12504,8;49,5
1986;1982;14268,1;193
1986;1983;16423,5;413,8
1986;1984;16398,7;346,7
1986;1985;17476;993,6
1986;1986;18705,3;5632,8
1987;1979;7204;0
1987;1980;9418,2;141,2
1987;1981;12651,6;83
1987;1982;14298;47,9
1987;1983;16302,1;164,2
1987;1984;16341,2;338,7
1987;1985;17057,4;365,1
1987;1986;18049,9;875,1
1987;1987;19270,3;5653,1
1988;1979;7326;0
1988;1980;9489;158
1988;1981;12761,5;122,9
1988;1982;14435,6;76,1
1988;1983;16492,5;51
1988;1984;16237,2;168,5
1988;1985;16835,1;293
1988;1986;17985,9;352,3
1988;1987;18971,1;848,2
1988;1988;20513,9;6305,4
1989;1979;7395;0
1989;1980;9523,9;88,9
1989;1981;12749,3;170,3
1989;1982;14423,5;95,3
1989;1983;16744,8;67,2
1989;1984;16184;106,9
1989;1985;16696,1;103,7
1989;1986;17692,7;162,6
1989;1987;18611,9;274,4
1989;1988;20185,8;992,3
1989;1989;21013,2;6693,1
1990;1979;7438;0
1990;1980;9921,4;57,4
1990;1981;12946,2;371,4
1990;1982;14645,4;128,5
1990;1983;17245,2;79,4
1990;1984;16821,8;110,9
1990;1985;17165,5;177
1990;1986;18333,4;98,3
1990;1987;19020,3;168,7
1990;1988;20617,6;342,8
1990;1989;20818,2;856,9
1990;1990;23521,7;7019,3
1991;1979;7468;0
1991;1980;9659,8;38,8
1991;1981;12412,9;-144,9
1991;1982;14204,5;243,3
1991;1983;16814,8;124,5
1991;1984;16376,4;86
1991;1985;16561,8;108,4
1991;1986;17977,3;172,9
1991;1987;19231,2;149,8
1991;1988;19966,2;353,2
1991;1989;20490;353,6
1991;1990;23586,6;959,8
1991;1991;26146,5;7950
1992;1979;7541;0
1992;1980;9748,4;94,4
1992;1981;12716,4;46,3
1992;1982;14198;-76,2
1992;1983;16892,5;199,1
1992;1984;16969,8;97,8
1992;1985;16706,4;173,3
1992;1986;18393,4;101,5
1992;1987;19534,6;245,9
1992;1988;20134,8;165,8
1992;1989;20572,8;352,7
1992;1990;24004,4;361,5
1992;1991;26489,8;1076,4
1992;1992;28082,6;7633,3
1993;1979;7580;0
1993;1980;9754,2;50,2
1993;1981;12712,6;90,2
1993;1982;14307,9;34,8
1993;1983;16757,9;-55,9
1993;1984;17176,6;149
1993;1985;16771,1;124,6
1993;1986;18357,5;207,8
1993;1987;19346,6;91,8
1993;1988;20074;235,7
1993;1989;20360,7;137,9
1993;1990;24373;422,4
1993;1991;26150,2;502,2
1993;1992;27432,8;947,5
1993;1993;28231,1;7874,2
1994;1979;7677;0
1994;1980;9867,7;124,7
1994;1981;12843,4;57,1
1994;1982;14448,1;90,3
1994;1983;17014,6;32,6
1994;1984;17352,4;-36,8
1994;1985;16893,3;136,5
1994;1986;18345,8;111,1
1994;1987;19444,5;199,8
1994;1988;21584,9;94,7
1994;1989;20965,6;508,8
1994;1990;24915,4;218,8
1994;1991;26783,9;475,8
1994;1992;28201,2;469,1
1994;1993;29156,4;998,1
1994;1994;30533,3;8263,4
1995;1979;7794;0
1995;1980;9893,5;148,5
1995;1981;12905;72,2
1995;1982;14460;44
1995;1983;17075,5;74,7
1995;1984;17557,7;27,7
1995;1985;16875,1;-20,4
1995;1986;18237,5;41,7
1995;1987;19273,1;103,8
1995;1988;21519;221
1995;1989;20991;48,5
1995;1990;24905,2;639,8
1995;1991;26363;247,4
1995;1992;28163,7;414
1995;1993;29006,7;458,5
1995;1994;29630,4;1060,8
1995;1995;29518,4;8362,9
1996;1979;7919;0
1996;1980;9901,3;156,3
1996;1981;12933,1;84,9
1996;1982;14492,9;49
1996;1983;17089,6;35,9
1996;1984;17589,9;60,4
1996;1985;16960,7;16,4
1996;1986;18323,9;40,2
1996;1987;19341,7;42,7
1996;1988;21452,1;108
1996;1989;21237,1;190
1996;1990;24721;75,5
1996;1991;26346,9;700,6
1996;1992;27996,1;202,8
1996;1993;29261,6;237,8
1996;1994;29526,9;551,3
1996;1995;29932,1;1050,8
1996;1996;29459,9;9087,3
1997;1979;8047;0
1997;1980;9905,6;157,6
1997;1981;12945,2;92,3
1997;1982;14524;56,4
1997;1983;17122;44,1
1997;1984;17746,3;27,8
1997;1985;17017,1;69,5
1997;1986;18354,8;9,7
1997;1987;19395,4;32,5
1997;1988;21458,7;50,3
1997;1989;21140,2;106,1
1997;1990;24748,4;87,9
1997;1991;25707,7;107
1997;1992;28229,2;650,4
1997;1993;29466,5;301,9
1997;1994;29951,1;294,1
1997;1995;30097,2;676,8
1997;1996;27716,8;1116,8
1997;1997;32036,6;8963,2
